,Suburb,Schools
1172,Timboon,1
1173,Timor,1
1174,Tongala,1
1175,Tooborac,1
1176,Toolamba,1
1177,Toolangi,1
1178,Toolern Vale,1
1179,Toongabbie,1
1180,Toora,1
1181,Tooradin,1
1182,Toorak,1
1183,Tootgarook,1
1184,Torquay,3
1185,Trafalgar,2
1186,Traralgon,6
1187,Traralgon South,1
1188,Trawalla,1
1189,Trentham,1
1190,Truganina,4
1191,Tullamarine,1
1192,Tungamah,1
1193,Tyabb,2
1194,Tyers,1
1195,Tylden,1
1196,Ultima,1
1197,Undera,1
1198,Underbool,1
1199,Upper Ferntree Gully,1
1200,Upper Plenty,1
1201,Upwey,3
1202,VENTNOR,1
1203,VERMONT,2
1204,VERMONT SOUTH,2
1205,Vermont,2
1206,Vermont South,3
1207,Viewbank,2
1208,Violet Town,1
1209,WALLAN EAST,1
1210,WANGARATTA,6
1211,WANTIRNA,1
1212,WANTIRNA SOUTH,5
1213,WARRACKNABEAL,1
1214,WARRAGUL,5
1215,WARRANWOOD,1
1216,WARRNAMBOOL,3
1217,WARRNAMBOOL EAST,1
1218,WARRNAMBOOL WEST,1
1219,WATSONIA,1
1220,WEIR VIEWS,1
1221,WENDOUREE,2
1222,WERRIBEE,5
1223,WERRIBEE NORTH,1
1224,WEST MELBOURNE,1
1225,WHEELERS HILL,2
1226,WHITE HILLS,1
1227,WHITTINGTON,1
1228,WHITTLESEA,1
1229,WILLIAMSTOWN,2
